Points,Username,Comment
98.5,malaclypse,
84,Malkovski,
0,maria.mikova,Solution file not found!
100,Maria123456,
0,marianamn,Solution file not found!
100,marinag,
71.25,marinJelev,
0,MarinMarinov,Solution file not found!
0,MarinPetrov,Solution file not found!
0,mariya_ivanova,Solution file not found!
92,marro,
96,Martin.Matev,
0,martina.mitreva,Solution file not found!
65,MartinaMarkova,
88,martinapostolov,
84,martingeorgiev,
80.75,MartinPetrov777,
0,marvas,Solution file not found!
20.85,maryakach,
0,Maskln,Solution file not found!
85,Mbyte,
100,mdraganov,
57.5,Medici,
22.5,melnelen,
0,messynger,Solution file not found!
11.7,mihail.jn,
0,mihailirinchev,Solution file not found!
0,MihailP,Solution file not found!
0,Mihail_m,Solution file not found!
90.5,mihaylov,
89,milen_d,
100,milkokochev,
92,mimirerelala,
0,minkovskast,Solution file not found!
0,mirko123,Solution file not found!
0,MiroslavVasilev,Solution file not found!
0,missytoy,Solution file not found!
55.5,Mkoseva,
85,mladen.m.savov,
83,Moiraine,
68,mr.krustevv,
0,MSeykov,Solution file not found!
92,MStrateva,
90.75,mvivancheva,
0,mynameisnotkieh,Solution file not found!
0,Nafarfu,Solution file not found!
100,nasko717,
0,natron,Solution file not found!
0,Na_Ya,Solution file not found!
100,nelfurion,
0,nencho,Solution file not found!
41.9,nerazzul,
41.15,neven.dd,
96,NEw358a,
100,newmast,
90.75,ni4ka7a,
69,Nicca,
100,Nicky94,
92.5,nico.braun.988,
0,nikibudinov,Solution file not found!
80.25,nikistefanov,
92,NikitoG,
74,NikIvRu,
56,nikola.stefanov,
83.5,nikoladimoff,
100,nikolai.mishev,
92,nikolavn,
35.95,nikolay.nikolov,
92,nikolayd,
55.6,nikolito007,
0,nikotsonev,Compilation failed!
92,niya.omerska,
0,nizmirov,Solution file not found!
75.5,nlpcsh,
0,npineda,Solution file not found!
92,Obelixx,
82,ogggster,
33,Oksana,
77,p0150n,
56.45,pacho10,
66,PackMan0,
66.7,packo0,
97,pandata,
0,panestiev,Solution file not found!
18.75,PaperNick,
98.5,Pariador,
100,PavDragneva,
38.5,pavel.aslanov,
78.5,PavelDochev,
100,Pavel_Dobranov,
0,Pavleta,Solution file not found!
73.5,Pavlina,
96,PawelAngelow,
94.5,PenkoZhivanov,
100,pepinho24,
0,pepsi_555,Solution file not found!
0,petar.petrov,Solution file not found!
100,petkov.spp,
0,petrovagergana,Solution file not found!
39.3,petyodelta,
92,Pip3r4o,
53.25,pkeremidchieva,
70.2,plamenti,
32.25,plamenvt,
98,pliok,
92,plomba97,
100,plt3ch,
69.75,pmechkova,
87.75,Primas,
0,Pstoyanov,Solution file not found!
83.5,puhabg,
62.75,Puncky,
0,purlantov,Solution file not found!
49.9,pzubev,
98,radenkovn,
69.5,radko_mitev,
92,Radvach,
85,reddog,
0,rosen.b,Solution file not found!
61,RossiBundeva,
100,Rossoner40,
97.25,rostislav,
90,R_Yordanova,
0,S.Daskalov,Solution file not found!
88,sashkogin,
73,Savage,
96,sboymc,
0,screem_92,Solution file not found!
81,Scrublord,
0,sdimitrov,Solution file not found!
85,SDobrev,
16.4,sevastian,
0,sevdalina91,Solution file not found!
53,sguzunov,
99,SHAMMY,
0,shevitza,Solution file not found!
92,shtilyanov,
0,Shtilyanski,Solution file not found!
98,shunobaka,
88,siderisltd,
45.25,silivi6666,
85,simonssspirit,
96.75,SimoPrG,
81.5,skillet75,
29.4,slavib,
0,spdrr,Solution file not found!
0,ssslavev,Solution file not found!
34,sssssharkkkkk,
82.5,Stanev,
47.25,StanimiraHK,
86.5,steff.dimitrov,
82.5,Steff.kn,
28.1,Stelamat,
61.75,stellaval,
90,Stev3n,
0,Stivi,Solution file not found!
92,stoberov,
0,stoimeniliev,Solution file not found!
0,Stoyan001,Solution file not found!
75.5,STzvetkov,
94,sv.stoichkov,
100,svetlai,
0,SvetlaPetkova,Solution file not found!
92,svetlilaloli,
0,svilen_u,Solution file not found!
75.75,T150K,
0,ta4kata,Solution file not found!
90,tabula,
26,TanyaRan,
90,tcholakov,
0,tdakov,Solution file not found!
0,teddyboneva,Solution file not found!
77,tedidim18,
88,teodor.mihov.9,
0,testacc1,Solution file not found!
0,tetcom,Solution file not found!
92,ThaILLEST,
69.5,thereigner,
0,thrusanova,Solution file not found!
90.5,tima_t,
98.5,Todor.Voynov,
96.5,TodorD,
100,todorm85,
82,tokera,
96,tomasaa,
0,tomihristov5,Solution file not found!
96,topalkata,
78.85,Tsnikolov,
92,TsvetanMilanov,
0,tutty,Solution file not found!
77,Twick,
80.5,tzigy,
0,V.Profirov,Solution file not found!
23.75,v.todorov,
100,val12mo,
59.5,valchev,
66.75,vanqz1,
57.35,VanyaD,
82.5,vasil.subeff,
0,vasilbonchev,Solution file not found!
